CompanyCode,Material_Description
1054,POTATO PUKHRAJ H G2 GRADE M5
1054,POTATO PANAMERA MH06 G1 GRADE M7
1054,POTATO TAURUS MH05 G2 GRADE M1
1054,POTATO FARIDA MH14 G3 GRADE M6
1054,POTATO DERBY MH16 G2 GRADE M7
1054,Potato Memphis -TCP
1054,Potato Pukhraj H -M11
1054,POTATO DOUBLEFUN MH20 G1 GRADE M7
1054,POTATO TAURUS MH05 G3 GRADE M0
1054,Potato Himalini ZI-M4
1054,POTATO CHIP-1 D G2 GRADE M5
1054,POTATO TIGER MH26 G2 GRADE M7
1054,POTATO JYOTI G G2 GRADE M12
1054,POTATO ATLANTIC K G3 GRADE M2
1054,POTATO INNOVATOR MH15 G3 GRADE M0
1054,POTATO KCM C G1 GRADE M7
1054,POTATO KCM C G3 GRADE M1
1054,POTATO PERDIZ MH22 GRADE M2
1054,POTATO TAURUS MH05 G3 GRADE M2
1054,POTATO DERBY MH16 G2 GRADE M1
1054,POTATO SIFRA MH34 G1 GRADE M7
1054,POTATO ATLANTIC K G2 GRADE M1
1054,Potato Chandramukhi C -M2
1054,POTATO HZA09-1496 MH45 G1 GRADE M7
1054,POTATO SAGITTA MH04 G2 GRADE M2
1054,POTATO JYOTI G G3 GRADE M12
1054,Potato Surya R -M7
1054,POTATO COLOMBA MH11 G1 GRADE M7
1054,POTATO HZA09-1496 MH45 G2 GRADE M7
1054,POTATO MEMPHIS MH08 G3 GRADE M7
1054,POTATO TAURUS MH05 G2 GRADE M0
1054,POTATO ALCANDER MH19 G2 GRADE M7
1054,POTATO PRIMABELLE MH29 GRADE M3
1054,POTATO ATLANTIC K G3 GRADE M4
1054,POTATO COLOMBA MH11 G2 GRADE M2
1054,POTATO SUNITA MH28 GRADE M2
1054,POTATO Quintera MH35 G2 GRADE M7
1054,Potato LR I -M3
1054,POTATO SUNRED MH27 G2 GRADE M7
1054,POTATO DERBY MH16 G3 GRADE M2
1054,Potato Atlantic K -M4
1054,POTATO KCM C G2 GRADE M7
1054,POTATO PERDIZ MH22 G1 GRADE M4
1054,POTATO KCM C G2 GRADE M0
1054,POTATO INNOVATOR MH15 G2 GRADE M5
1054,POTATO KCM C G3 GRADE M11
1054,POTATO FARIDA MH14 G1 GRADE M1
1054,POTATO KCM C G3 GRADE M2B
1054,POTATO TIGER MH26 GRADE M7
1054,POTATO VDZ MH33 G1 GRADE M7
1054,POTATO LADYROSSETTA I G3 GRADE M7
1054,Potato Chandramukhi C -M4
1054,POTATO COLUMBA MINI GRADE S05
1054,POTATO INNOVATOR MH15 G3 GRADE M7
1054,Potato MH8-M05
1054,POTATO JYOTI G G1 GRADE M11
1054,Potato Chandramukhi C -M5
1054,POTATO MEMPHIS MH08 G2 GRADE M1
1054,POTATO TAURUS MH05 G3 GRADE M7
1054,POTATO TIGER MH26 GRADE M4
1054,Potato Chipsona 1 D -M7
1054,POTATO INNOVATOR MH15 Grade M5
1054,POTATO ZARINA MH31 G1 GRADE M7
